Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
126,90783 (0.9311022),0213461510,"02134 - Peoples Education Society's College of Engineering, Aurangabad",Mechanical & Automation,JEE,MH to AI,GOBCH
"",,,,Engineering,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
127,57485 (48.5158173),0213484410,"02134 - Peoples Education Society's College of Engineering, Aurangabad",Electronics and Computer,JEE,AI to AI,AI
"",,,,Engineering,,,
128,36817 (65.8983654),0213491210,"02134 - Peoples Education Society's College of Engineering, Aurangabad",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering(Data Science),,,
129,70746 (35.7200246),0213524210,"02135 - Hi-Tech Institute of Technology, Aurangabad",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
130,86157 (14.0892338),0213561210,"02135 - Hi-Tech Institute of Technology, Aurangabad",Mechanical Engineering,JEE,AI to AI,AI
131,42554 (61.1312926),0213591110,"02135 - Hi-Tech Institute of Technology, Aurangabad",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering(Artificial,,,
132,36763 (65.8994288),0213624210,"02136 - Aditya Engineering College , Beed",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
133,174205 (24.5948927),0213624610,"02136 - Aditya Engineering College , Beed",Information Technology,MHT-CET,AI to AI,AI
134,72656 (33.4714446),0213691210,"02136 - Aditya Engineering College , Beed",Computer Science and,JEE,MH to AI,GOBCH
"",,,,Engineering(Data Science),,,
135,65744 (40.8865248),0213729710,"02137 - Nagnathappa Halge Engineering  College, Parli, Beed",Electrical and Electronics,JEE,MH to AI,GOBCH
"",,,,Engineering,,,
136,130667 (65.3627105),0214624210,02146 - Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering,Computer Science and,MHT-CET,MH to AI,GNT3H
"",,,"and Technology, Osmanabad",Engineering,,,
137,42408 (61.2790648),0225024210,"02250 - Aurangabad College of Engineering,  Naygaon Savangi, Aurangabad",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
138,68782 (37.9717565),0225037210,"02250 - Aurangabad College of Engineering,  Naygaon Savangi, Aurangabad",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
139,165392 (34.8052940),0225229710,02252 - Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of,Electrical and Electronics,MHT-CET,AI to AI,AI
"",,,"Engineering and Management Studies, Parbhani",Engineering,,,
140,48053 (56.6674265),0225424510,"02254 - Vilasrao Deshmukh Foundation Group of Institutions, Latur",Computer Engineering,JEE,AI to AI,AI
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
141,52729 (52.9420567),0225424610,"02254 - Vilasrao Deshmukh Foundation Group of Institutions, Latur",Information Technology,JEE,AI to AI,AI
142,188097 (3.2456580),0228224610,"02282 - Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi",Information Technology,MHT-CET,AI to AI,AI
"",,,"Road, Beed",,,,
143,84094 (17.9423292),0250824510,02508 - GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,Computer Engineering,JEE,AI to AI,AI
144,79458 (25.1465099),0250837210,02508 - GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,Electronics and,JEE,MH to AI,GSEBCO
"",,,,Telecommunication Engg,,,
145,148558 (55.5169499),0250850310,02508 - GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,Food Technology,MHT-CET-PCB 2024,AI to AI,AI
146,93355 (7.5416889),0250850310,02508 - GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,Food Technology,NEET-2024,AI to AI,AI
147,74067 (31.9940170),0250891410,02508 - GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,Safety and Fire,JEE,MH to AI,GNT1H
"",,,,Engineering,,,
148,64664 (42.0665339),0251624210,02516 - International Centre Of Excellence In Engineering  and Management,Computer Science and,JEE,AI to AI,AI
"",,,(ICEEM),Engineering,,,
149,78635 (26.1653750),0251692110,02516 - International Centre Of Excellence In Engineering  and Management,Artificial Intelligence and,JEE,AI to AI,AI
"",,,(ICEEM),Machine Learning,,,
150,63662 (42.7279999),0252224510,"02522 - STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.",Computer Engineering,JEE,AI to AI,AI
151,60190 (46.0832398),0253319110,"02533 - CSMSS Chh. Shahu College of Engineering, Aurangabad",Civil Engineering,JEE,AI to AI,AI
152,31223 (70.5982353),0253324210,"02533 - CSMSS Chh. Shahu College of Engineering, Aurangabad",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
